"dcra_code","tank_farm_id","uscg_id","aea_id","community_fips_code","entity_name","number_of_tanks","total_capacity","gasoline_capacity","diesel_capacity","av_gas_capacity","jet_fuel_capacity","other_fuel_capacity","barge_delivery","plane_delivery","road_delivery","inspected_by_uscg","fuel_supplier","recommendations_by_aea","distance_to_barge_mooring","tank_farm_evaluation_id","data_source","report","geometry"
"29247ED0-1337-401F-B61E-16CC3CA5ADCA",,,"109-BF-03","0203000",Northern Holdings,1,16000,,,,16000,,false,false,true,false,,,,,DEC,,POINT (-149.99072265625 61.1636962890625)
"2F52A7FA-6ED5-433F-A1F9-BA3347CD1F20",,ANC-A-021,,"0203000",Port of Anchorage,1,2000,,2000,,,,false,false,true,true,,,,,DEC,,POINT (-149.88592529296875 61.2388916015625)
"02EE61FE-4430-42B2-8B37-8251E4F61559",,ANC-A-080,,"0203000","US Ecology Alaska Services (Mobile), Anchorage",,,,,,,,,,,true,,,,,,,POINT (-149.894775390625 61.21630859375)
"0B82F662-B1E3-4027-8EAD-DA113B629812",,ANC-A-099,,"0203000","Matson Navigation, Anchorage",,,,,,,,,,,true,,,,,,,POINT (-149.894775390625 61.21630859375)
"1417725B-9B42-49D4-B695-548FDF4F26C0",,ANC-A-040,,"0203000","Totem International, Anchorage",,,,,,,,,,,true,,,,,,,POINT (-149.894775390625 61.21630859375)
"4A5A74B8-904D-4B1F-A782-4DC77DBC8A5E",,ANC-A-022,,"0203000","Delta Western Petroleum (Mobile), Anchorage",,,,,,,,,,,true,,,,,,,POINT (-149.894775390625 61.21630859375)
"850CED72-9482-4635-B3CE-F90A68529277",,ANC-A-100,,"0203000","Clean Harbors Environmental Services, Inc.",,,,,,,,,,,true,,,,,,,POINT (-149.894775390625 61.21630859375)
"8B5C76E5-8C77-4629-888C-92E9FEFBA818",,ANC-A-041,,"0203000","Northstar Terminal, Anchorage",,,,,,,,,,,true,,,,,,,POINT (-149.894775390625 61.21630859375)
"9AD06441-8280-48DE-B08B-33FD6F5BBD5C",,ANC-A-025,,"0203000","Andeavor Logistics LP, (ANDX)",,,,,,,,,,,true,,,,,,,POINT (-149.894775390625 61.21630859375)
BCA384CB-9569-4872-87E0-87CCFC9D74DE,,ANC-A-069,,"0203000","Petro Star Inc., Anchorage",,,,,,,,,,,true,,,,,,,POINT (-149.894775390625 61.21630859375)
FE69B373-CEA6-404B-946F-69BC55AC0A15,,ANC-A-024,,"0203000",Andeavor Logistics (Terminal 2),,,,,,,,,,,true,,,,,,,POINT (-149.894775390625 61.21630859375)
DCC6BD42-2620-46F3-B756-171CA27E6222,,,,"0203000",Federal Aviation Administration - Anchorage - SX ALS,1,2000,,2000,,,,false,false,true,false,,,,,DEC,,POINT (-149.98150634765625 61.17327880859375)
"4A58F3C3-208C-4D95-BCC3-667BF010941C",,ANC-A-081,"103-BF-02","0203000",Delta Western - Anchorage Inlet Energey Warehouse,1,4400,,4400,,,,false,false,true,true,,,,,DEC,,POINT (-149.84661865234375 61.222900390625)
"6D5FB766-9E15-45A9-A918-04328EFE0E7F",,,,"0203000",EAN Vehicle Service Center,1,1000,1000,,,,,false,false,true,false,,,,,DEC,,POINT (-149.969482421875 61.17547607421875)
"786F7C14-A6C6-4859-AA45-7085CDE46EE8",,,"112-BF-01","0203000",University of Alaska Anchorage - Anchorage,9,15419,,15419,,,,false,false,true,false,,,,,DEC,,POINT (-149.81378173828125 61.19189453125)
"8908D3CF-BA9C-4155-ABD2-D9C6F80840C0",,,,"0203000",Air Medical Group Holdings - Anchorage,1,12000,,,,12000,,,,,false,,,,,DEC,,POINT (-149.9508056640625 61.17327880859375)
